2,03/2021,3000000,25,21.005821, 105.782432,ccmn,4.55,15.4,khepkin,4,2,"số 2 ngõ 72 miếu đầm, nam từ liêm, hà nội","ccmn số 2 ngõ 72 miếu đầm, nam từ liêm, hà nội.- khép kín full nội thất, có gác xép bao gồm:điều hòa, nóng lạnh, giường, tủ, kệ bếp,giá sách, máy giặt,.- hàng tuần có người dọn vệ sinh- giờ giấc thoải mái, tiếp khách vô tư miễn là lịch sự- hợp đồng lâu dài không tăng giá.- chỗ để xe rộng, miễn phí- camera an ninh hành langmô tả chung- chính chủ miễn môi giới- điện 3,5k/ số- nước 35k/mét khối.- đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà.giá: 3.000.000đ-3.500.000đ- đi nửa giây ra đường phố miếu đầm, ô tô đỗ cửabạn quan tâm vui lòng liên hệ chủ nhà văn phú: 0978.62.31.31"
9,03/2021,2800000,28,20.994115, 105.776873,ccmn,4.11,20.15,khepkin,3,2,"14 ngõ 10 Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","chính chủ  ccmn ngõ 10 đại linh, trung văn giá 2,8 triệu/tháng.: số 14 ngõ 10 đại linh, trung văn, nam từ liêm hà nội.ngôi nhà gần chợ và các trung tâm như: trung tâm hội nghị quốc gia 800m, cách đường tố hữu 800m, cách big c thăng long 1km, cách keangnam 2km.cách điểm đón xe bus số 33 500mrất thuận lợi cho việc đi lại.bố trí: gồm 6 tầng 100% trong đó.+ tầng 1 để xe và 1  khép kín.+ tầng 2 đến tầng 6 mỗi tầng 3  khép kín.:  mỗi  khoảng 25m2.nội thất: giường, tủ quần áo, nóng lạnh, điều hòa, bàn bếp, chậu rửa.giá dịch vụ: điện 3.000/kw.nước 30k/m3.mạng 100k/, vệ sinh chung 50k/.thang máy 50k/người lớn.giá  2,8 đến 3,3 triệu/tháng"
7,03/2021,4000000,30,21.008353, 105.781992,ccmn,12.9,1,khepkin,5,4,"23 Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"," ccmn,  mễ trì, miếu đầm, đỗ đức dục* cạnh chung tâm hội nghị quốc gia, gần chợ dân sinh mễ trì, nhiều trường mầm non, siêu thị mini vin+, vin đỗ đức dục* nội thất: nóng lạnh, điều hòa, giường, tủ quần áo, đệm, bàn trà, rèm cửa, quạt trần, bàn bếp, chậu rửa, giá bát, thiết bị vệ sinh full* bếp riêng biệt*thang máy rộng, khóa cổng vân tay, để xe miễn phí, camera an ninh,* giờ giấc tự do, không chung chủ, tiếp khách thoải mái miễn là lịch sự* dân cư thân thiện, cư dân văn minh,* điện 3.5k . nước 35k/m3* giá: 4.000.000đchi tiết liên hệ:mr.phong: 0985.593.162"
3,03/2021,2800000,18,21.005737, 105.782281,nhatang,4.55,35.3,khepkin,4,2,"số 10 ngõ 72 miếu đầm, nam từ liêm, hà nội","chính chủ   đẹp full đồ mễ trìđịa chỉ: (ô tô đỗ cửa) số 10 ngõ 72 miếu đầm, nam từ liêm, hà nội ( sau trung tâm hội nghị quốc gia cách bigc thăng long 800m, sau khách sạn matriot) đẹp đủ đồ* giá 2.800.000đ/ tháng;* còn * nội thất:- nóng lạnh, điều hòa, giường, tủ, máy giặt chung 2 máy.. ...- kệ bếp giá để bát ( riêng biệt từng )- vệ sinh khép kín có gác xép- ban công thoáng mát, phơi đồ* mô tả chung- chính chủ miễn môi giới- điện 3,5k/ số- nước 35k/mét khối.- hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- để xe miễn phí. camera an ninh hành lang.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà.- đi nửa giây ra đường phố miếu đầmbạn quan tâm vui lòng liên hệ chủ nhà hoàng việt: 0977.10.17.15"
1,03/2021,3300000,25,21.008978, 105.796913,nhatang,3.85,18.5,khepkin,4,4,"204 Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội","  chính chủ tạitrần duy hưng, trung kính quận cầu giấy+ đã đủ nội thất các bạn chỉ cần xách vali đến là ở, không tốn kém sắm sửa nội thất ( có nóng lạnh, điều hòa, giường, tủ, đệm, bàn trà, kệ bếp, giá sách...)+ có camera giám sát an ninh, máy giặt chung, khóa vân tay hiện đại an toàn - chủ động giờ giấc+ không ở cùng chủ, không bị quản lý thời gian hay sinh hoạt+ cách bigc thăng long 500m, vinmar+500m, đại học lao động 700m, đại học thăng long 700m+ tiếp khách thoải mái miễn là lịch sự,các bạn quan tâm vui lòng liên hệ: mr. phong : 0982.254.153"
8,03/2021,4300000,40,21.018764, 105.775766,nhatang,4.9,86.92,khepkin,6,3,"17 ngõ 154 Phố Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","-  đơn: 20 m2 giá 2.800.000đ+ thang máy, chỗ để xe rộng+ điều hòa, bình nước nóng+ ban công, giường, tủ+ bàn tủ bếp- hộ gia đình: 40 m2 giá 4.300.000 đ+ 01  khách + bếp; 01  ngủ + ban công+ 0.2 nhà vệ sinh+ điều hòa + bàn bếp + tủ bếp; giường tủ"
6,03/2021,4200000,35,21.008492, 105.782172,nhatang,12.9,1,khepkin,5,4,"36 Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","chính chủ  ccmn mới đẹp full đồnhà  mới xây ccmn còn nhiều  đẹp như khách sạn 3* các bạn tha hồ chọn* gần chợ dân sinh mễ trì, các trường mầm non tư thục, khu dân cư thân thiện, siêu thị mini vin+, ngõ 36 miếu đầm sầm uất.* cam kết chuẩn hình  như ảnh bài đăng, sai miễn phí tiền  1 năm* trang bị 3 máy giặt chung, khóa cổng vân tay, camera an ninh* nội thất: nóng lạnh, điều hòa, giường, tủ quần áo, đệm, sofa, ban công thoáng mát, quạt trần, rèm cửa, bàn bếp, giá bát,* giờ giấc tự do, ko chung chủ, tiếp khách thoải mái miễn là lịch sự* giá thuê: 4.000.000đ-4.500.000đchi tiết liên hệ:mr.phong: 098.559.3162"
4,03/2021,900000 ,15,21.029456, 105.775094,nhacap,3.5,5,kkk,1,0,"số 1 đường mỹ đình, mỹ đình, từ liêm, hà nội","cư xá mỹ đìnhtổng hợp  giá rẻ tại cư xá-  không khép kín 900k tầng 5 rộng 10m2-  khép kín 1tr7 tầng 3 rộng 16m-  khép kín 1tr5 tầng 3 rộng 15m2-  khép kín 1tr3 tầng 4 rộng 13m2-  không khép kín 1tr tầng 3 rộng 10m2* mô tả chung+ camera an ninh các hành lang+ giờ giấc thoải mái+ bảo vệ trực 24/24+ tạp vụ dọn vệ sinh hàng ngày+ đóng tiền tháng 1 cọc 1 thánggiá: 800.000 đ / thángđịa chỉ: số 1 đường mỹ đình( đối diện cổng bốc vác bến xe mĩ đìnhliên hệ anh việt: 0966663256đ/c: số 1 đường mỹ đình, mỹ đình, từ liêm, hà nội"
5,03/2021,4300000,40,21.008818, 105.781849,ccmn,5.5,46,khepkin,5,4,"23 ngõ 36 Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"," ccmn 1 khách 1 ngủ mễ trì full đồ 35m2* cạnh chung tâm hội nghị quốc gia, gần chợ dân sinh mễ trì, nhiều trường mầm non, siêu thị mini vin+, vin đỗ đức dục* nội thất: nóng lạnh, điều hòa, giường, tủ quần áo, đệm, sofa, bàn trà, rèm cửa, quạt trần, bàn bếp, chậu rửa, giá bát, thiết bị vệ sinh full*thang máy rộng, khóa cổng vân tay, để xe miễn phí, camera an ninh,* giờ giấc tự do, không chung chủ, tiếp khách thoải mái miễn là lịch sự* dân cư thân thiện, cư dân văn minh,* điện 3.5k . nước 35k/m3* giá: 4.300.000đ - 4.500.000đchi tiết liên hệ:mr.phong: 098.559.3162"
0,03/2021,3000000,20,21.000693, 105.819400,nhatang,3.7,73.5,khepkin,6,3,"Số 23 ngõ 47 Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","chính chủ   full đồ ngã tư sở+  đẹp cách chân cầu vượt 50m đi bộ, gần khu vip royal city. gần đại học thủy lợi, công đoàn, hv ngân hàng..+ nội thất gồm: nóng lạnh, điều hòa, giường, tủ, đệm, bàn trà, tủ bếp, bàn bếp, giá sách....+ giờ giấc thoải mái, không chung chủ, camera an ninh hành lang, cửa từ khóa vân tay+ tiếp khách thoải mái miễn là lịch sự+ chỗ để xe rộng dãi, có bảo vệ trônggiá thuê từ 2.800.000đ - 3.500.000đkhu trọ văn minh, lịch sự như tâymọi chi tiết liên hệ: 0982254153anh quý rất thân thiện"
11,03/2021,3500000,30,20.963470, 105.788393,nhatang,5.2,20,khepkin,4,2,"Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội","- nhà cực đẹp full nội thất mới - chỉ việc mang vali vào ở.-  đẹp, sạch sẽ thoáng mát gần: hv quân y, viện bỏng, viện k tân triều, kđt xa la, chợ hà đông,...- giá 3.5tr - 4tr - 4tr5/tháng. đóng 1 cọc 1 tháng (ở được luôn).- ban công cực đẹp, gác xép rộng rãi.- thang máy tốc độ cao.mô tả chung.- full nội thất điều hòa, nóng lạnh, tủ lạnh, giường, tủ, phơi đồ, bàn học, để xe miễn phí, camera an ninh, máy giặt, kệ bếp.- cổng khóa vân tay đảm bảo an toàn.- chính chủ miễn môi giới.- điện 3,5k/ số.- nước 20k/số.- hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà."
